ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Variation Swatches","Attributes Swatches",Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _deal_sales_counts","Meta: _deal_quantity","Meta: ecomus_pbt_product_ids","Meta: ecomus_pbt_discount_all","Meta: ecomus_pbt_checked_all","Meta: ecomus_pbt_quantity_discount_all","Meta: ecomus_product_variation_attribute","Meta: video_thumbnail_id","Meta: video_position","Meta: video_url","Meta: ecomus_advanced_linked_product_ids","Meta: product_3d_viewer_thumbnail_id","Meta: product_3d_viewer_position","Meta: product_3d_viewer_url","Meta: custom_badges_text","Meta: custom_badges_bg","Meta: custom_badges_color","Meta: ecomus_product_attribute","Meta: ecomus_product_attribute_number","Meta: ecomus_product_attribute_second","Meta: ecomus_product_attribute_number_second","Meta: _wxr_import_user_slug","Meta: unit_measure","Meta: wcboost_compare_count","Meta: wcboost_compare_addition","Meta: wcboost_compare_time","Meta: wcboost_compare_removal","Meta: _wp_old_date"
598,simple,,,"Azure Marble Button-Down",1,0,visible,,"<div>A refined wardrobe essential designed for effortless elegance. This abstract blue printed shirt blends contemporary artistry with classic tailoring, making it a versatile choice for both work and casual wear.</div>
\n<div></div>
\n<div>Key Features:</div>
\n<div>•Modern abstract print in soothing blue tones</div>
\n<div>•Structured collared neckline with front button closure</div>
\n<div>• sleeves for a smart yet relaxed look</div>
\n<div>•Smooth, breathable fabric for day-long comfort</div>
\n<div>•Flattering tailored fit that enhances the silhouette</div>
\n<div></div>
\n<div>Fabric : football cotton hakoba fabric</div>
\n<div></div>
\n<div>Style Tip:</div>
\n<div>Pair it with white or beige trousers for a clean, sophisticated look, or style it with denim for an elevated casual outfit.</div>
\n<div></div>
\n<div>Occasion:</div>
\n<div>Office wear | Smart casuals | Day outings | Brunch &amp; meetings</div>
\n<div></div>
\n<div>Care Instructions:</div>
\n<div>Gentle machine wash | Do not bleach | Iron on low heat</div>",,,taxable,,1,,,0,0,,,,,1,,999,1599,"Printed Shirt, Women",,,"https://sonish.co.in/wp-content/uploads/2024/06/IMG_1270-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1267-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1271-scaled.jpeg, https://sonish.co.in/wp-content/uploads/2024/06/IMG_1272.jpeg",,,,,,,,,0,"{""pa_size"":{""type"":"""",""shape"":"""",""size"":"""",""custom_size"":{""width"":0,""height"":0},""swatches"":{""54"":{""color"":"""",""image"":"""",""label"":""""},""47"":{""color"":"""",""image"":"""",""label"":""""},""41"":{""color"":"""",""image"":"""",""label"":""""}}}}",,,size,"L, M, S",1,1,0,,0,0,,2,,,2,,0,,,,,,,,,,,admin,,31,32,1772618684,0,
606,simple,,,"Ombré Gradient Shirt",1,0,visible,,"<blockquote>
\n<div>Elevate your everyday style with this effortlessly chic ombre shirt, designed for a perfect balance of comfort and sophistication. Featuring a soft gradient blend of white to serene blue, this shirt adds a fresh, modern touch to your wardrob.</div></blockquote>
\n<div>Key Features:</div>
\n<div>•Elegant ombre color transition for a standout look</div>
\n<div>•Classic collared neckline with front button closure</div>
\n<div>•Full sleeves with roll-up option for versatile styling</div>
\n<div>•Smooth, lightweight fabric for all-day comfort</div>
\n<div>•Tailored fit that flatters the silhouette</div>
\n<div>Fabric: Satin</div>
\n<div></div>
\n<div>Style Tip:</div>
\n<div>Pair it with white shorts or trousers for a crisp daytime look, or tuck it into high-waisted pants for a polished office-to-evening outfit.</div>
\n<div></div>
\n<div>Occasion:</div>
\n<div>Casual outings | Office wear | Brunch dates | Vacation styling</div>
\n<div></div>
\n<div>Care Instructions:</div>
